,chordmer,kappa_le,kappa_te,stagger
-0.05,0.0333665713507215,0.0,0.0,0.0
0.0,0.03189059422462989,0.0,0.0,0.0
0.05,0.03059152832583761,0.0,0.0,0.0
0.1,0.029452226291230836,0.0,0.0,0.0
0.2,0.027584324362118544,0.0,0.0,0.0
0.3,0.026150883452813127,0.0,0.0,0.0
0.4,0.025034221057780776,0.0,0.0,0.0
0.5,0.02419099340546127,0.0,0.0,0.0
0.6,0.023573658958844945,0.0,0.0,0.0
0.7,0.023101269619254808,0.0,0.0,0.0
0.8,0.02280821251848396,0.0,0.0,0.0
0.9,0.022652390196389545,0.0,0.0,0.0
0.95,0.022612762209211767,0.0,0.0,0.0
1.0,0.0226,0.0,0.0,0.0
1.05,0.022615149911709386,0.0,0.0,0.0
